game,score,mean_score
1,2,2.00
2,1,1.50
3,0,1.00
4,0,0.75
5,1,0.80
6,1,0.83
7,1,0.86
8,0,0.75
9,0,0.67
10,0,0.60
11,1,0.64
12,0,0.58
13,0,0.54
14,0,0.50
15,1,0.53
16,6,0.88
17,0,0.82
18,3,0.94
19,2,1.00
20,1,1.00
21,0,0.95
22,0,0.91
23,1,0.91
24,1,0.92
25,7,1.16
26,10,1.50
27,0,1.44
28,0,1.39
29,2,1.41
30,1,1.40
31,3,1.45
32,1,1.44
33,5,1.55
34,2,1.56
35,0,1.51
36,10,1.75
37,6,1.86
38,5,1.95
39,5,2.03
40,2,2.02
41,2,2.02
42,0,1.98
43,0,1.93
44,2,1.93
45,5,2.00
46,0,1.96
47,0,1.91
48,1,1.90
49,7,2.00
50,3,2.02
51,4,2.06
52,4,2.10
53,0,2.06
54,10,2.20
55,0,2.16
56,2,2.16
57,1,2.14
58,3,2.16
59,8,2.25
60,1,2.23
61,4,2.26
62,2,2.26
63,13,2.43
64,6,2.48
65,10,2.60
66,5,2.64
67,6,2.69
68,20,2.94
69,1,2.91
70,6,2.96
71,6,3.00
72,4,3.01
73,2,3.00
74,19,3.22
75,25,3.51
76,18,3.70
77,19,3.90
78,16,4.05
79,30,4.38
80,23,4.61
81,48,5.15
82,30,5.45
83,38,5.84
84,69,6.60
85,16,6.71
86,13,6.78
87,19,6.92
88,14,7.00
89,13,7.07
90,2,7.01
91,12,7.07
92,41,7.43
93,20,7.57
94,39,7.90
95,5,7.87
96,27,8.07
97,33,8.33
98,26,8.51
99,31,8.74
100,39,9.04
101,41,9.36
102,7,9.33
103,33,9.56
104,31,9.77
105,33,9.99
106,25,10.13
107,16,10.19
108,23,10.31
109,14,10.34
110,21,10.44
111,5,10.39
112,32,10.58
113,14,10.61
114,13,10.63
115,20,10.71
116,27,10.85
117,21,10.94
118,12,10.95
119,42,11.21
120,47,11.51
121,26,11.63
122,22,11.71
123,11,11.71
124,26,11.82
125,23,11.91
126,11,11.90
127,20,11.97
128,36,12.16
129,57,12.50
130,20,12.56
131,25,12.66
132,26,12.76
133,27,12.86
134,54,13.17
135,25,13.26
136,18,13.29
137,7,13.25
138,25,13.33
139,5,13.27
140,38,13.45
141,25,13.53
142,34,13.68
143,22,13.73
144,29,13.84
145,41,14.03
146,14,14.03
147,14,14.03
148,14,14.03
149,32,14.15
150,21,14.19
151,6,14.14
152,9,14.11
153,45,14.31
154,33,14.43
155,13,14.42
156,23,14.47
157,46,14.68
158,19,14.70
159,5,14.64
160,31,14.74
161,28,14.83
162,44,15.01
163,44,15.18
164,26,15.25
165,2,15.17
166,2,15.09
167,11,15.07
168,51,15.28
169,3,15.21
170,53,15.43
171,32,15.53
172,58,15.77
173,23,15.82
174,16,15.82
175,46,15.99
176,23,16.03
177,29,16.10
178,51,16.30
179,11,16.27
180,2,16.19
181,3,16.12
182,55,16.33
183,32,16.42
184,37,16.53
185,39,16.65
186,50,16.83
187,26,16.88
188,4,16.81
189,26,16.86
190,15,16.85
191,41,16.97
192,2,16.90
193,13,16.88
194,27,16.93
195,22,16.95
196,47,17.11
197,21,17.13
198,10,17.09
199,7,17.04
200,10,17.00
201,28,17.06
202,34,17.14
203,7,17.09
204,38,17.20
205,31,17.26
206,29,17.32
207,14,17.30
208,28,17.36
209,41,17.47
210,29,17.52
211,22,17.55
212,43,17.67
213,12,17.64
214,32,17.71
215,15,17.69
216,17,17.69
217,40,17.79
218,32,17.86
219,8,17.81
220,32,17.88
221,21,17.89
222,16,17.88
223,30,17.94
224,45,18.06
225,23,18.08
226,7,18.03
227,5,17.97
228,55,18.14
229,38,18.22
230,47,18.35
231,17,18.34
232,37,18.42
233,1,18.35
234,28,18.39
235,8,18.34
236,9,18.31
237,18,18.30
238,29,18.35
239,29,18.39
240,43,18.50
241,34,18.56
242,13,18.54
243,28,18.58
244,48,18.70
245,23,18.71
246,19,18.72
247,14,18.70
248,20,18.70
249,29,18.74
250,24,18.76
251,19,18.76
252,15,18.75
253,50,18.87
254,8,18.83
255,44,18.93
256,24,18.95
257,52,19.08
258,39,19.16
259,32,19.20
260,37,19.27
261,31,19.32
262,20,19.32
263,29,19.36
264,33,19.41
265,0,19.34
266,51,19.45
267,25,19.48
268,46,19.57
269,28,19.61
270,40,19.68
271,9,19.64
272,11,19.61
273,35,19.67
274,20,19.67
275,50,19.78
276,17,19.77
277,19,19.77
278,11,19.73
279,42,19.81
280,14,19.79
281,36,19.85
282,52,19.96
283,61,20.11
284,10,20.07
285,58,20.21
286,27,20.23
287,29,20.26
288,19,20.26
289,29,20.29
290,18,20.28
291,36,20.33
292,25,20.35
293,20,20.35
294,37,20.40
295,41,20.47
296,40,20.54
297,61,20.68
298,50,20.78
299,47,20.86
300,25,20.88
301,35,20.92
302,50,21.02
303,34,21.06
304,22,21.07
305,18,21.06
306,19,21.05
307,30,21.08
308,39,21.14
309,5,21.08
310,21,21.08
311,34,21.13
312,26,21.14
313,37,21.19
314,26,21.21
315,27,21.23
316,38,21.28
317,56,21.39
318,27,21.41
319,14,21.38
320,30,21.41
321,24,21.42
322,29,21.44
323,33,21.48
324,32,21.51
325,32,21.54
326,12,21.51
327,23,21.52
328,31,21.55
329,15,21.53
